Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
BALM3,"16,89","9,72","1,46","1,016","1,54%","0,772","2,49","8,67","4,51","7,99","6,91","11,72%","10,08%","2,05","11,01%","15,06%","23.534,70","113.079.000,00","0,17","10,94%"
CTWR3,"100,00","9,76","56,77","0,317","0,00%","1,141","3,79","-10,64","-142,17","-8,91","-8,91","-2,98%","3,25%","1,45","-21,86%","581,91%","0,00","879.000,00","5,52","4,94%"
VIVO4,"71,80","9,81","2,93","1,491","0,00%","1,282","-31,87","6,78","-5,17","7,22","7,22","22,01%","15,20%","0,89","23,92%","29,88%","0,00","9.816.290.000,00","0,35","13,06%"
ABCB4,"14,46","9,92","0,74","0,000","4,90%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","7,51%","12.787.900,00","4.288.260.000,00","0,00","-34,30%"
ELPL3,"49,32","9,93","3,61","0,629","0,00%","0,322","-15,31","4,81","-0,49","6,50","4,85","13,07%","6,33%","0,92","7,91%","36,34%","0,00","2.699.040.000,00","2,06","7,02%"
TCSL4,"7,82","9,95","0,83","1,105","0,00%","0,475","8,93","5,69","-2,20","5,61","2,18","19,44%","11,11%","1,34","9,67%","8,33%","0,00","22.847.800.000,00","0,14","2,29%"
SANB3,"18,80","10,03","0,00","0,000","2,61%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","1.177.420,00","0,00","0,00","-6,01%"
LIGT3,"19,03","10,25","1,00","0,542","0,00%","0,269","9,37","3,72","-0,62","7,19","5,49","14,56%","5,29%","1,10","9,58%","9,78%","52.215.900,00","7.076.210.000,00","1,37","8,08%"
MRSL3,"3,30","10,25","0,99","0,883","0,00%","0,658","2,37","16,32","6,28","17,74","9,50","5,41%","8,69%","2,78","4,44%","9,63%","0,00","375.151.000,00","0,16","7,10%"
COCE6,"35,00","10,28","0,84","0,464","0,00%","0,291","-6,07","7,42","-0,73","13,49","7,28","6,26%","4,52%","0,84","4,54%","8,21%","0,00","3.230.550.000,00","0,77","9,15%"
